129p,http:7//files.axcesscapon.com/pdf/enrichments/ME01.pdf
135p,http://files.axcesscapon.com/pdf/enrichments/ME02.pdf
680p,http://files.axcesscapon.com/pdf/enrichments/ME03.pdf
524p,http://files.axcesscapon.com/pdf/enrichments/ME04.pdf
165p,http://files.axcesscapon.com/pdf/enrichments/ME06.pdf
704v,http://player.vimeo.com/video/66162019
678p,http://files.axcesscapon.com/pdf/enrichments/ME101.pdf
719v,http://player.vimeo.com/video/66140076
707v,http://player.vimeo.com/video/67206708
233v,http://player.vimeo.com/video/67207786
573a,http://files.axcesscapon.com/audio/mma/a101-The-Role-of-Marketing.mp3
637a,http://files.axcesscapon.com/audio/mma/a102-The-Externally-Oriented-Firm.mp3
558a,http://files.axcesscapon.com/audio/mma/a103-Four-Marketing-Principles.mp3
643p,http://files.axcesscapon.com/pdf/enrichments/ME201.pdf
476p,http://files.axcesscapon.com/pdf/enrichments/ME202.pdf
231p,http://files.axcesscapon.com/pdf/enrichments/ME203.pdf
101p,http://files.axcesscapon.com/pdf/enrichments/ME204.pdf
275p,http://files.axcesscapon.com/pdf/enrichments/ME205.pdf
860p,https://www.colloquy.com/
878v,http://player.vimeo.com/video/66140139
598v,http://player.vimeo.com/video/67207977
774v,http://player.vimeo.com/video/66163181
801p,http://files.axcesscapon.com/pdf/enrichments/ME301.pdf
551v,http://player.vimeo.com/video/66140236
891a,http://files.axcesscapon.com/audio/mma/a301-Market-Insight.mp3
682p,http://files.axcesscapon.com/pdf/enrichments/ME401.pdf
459p,http://files.axcesscapon.com/pdf/enrichments/ME402.pdf
404v,http://player.vimeo.com/video/66140468
232v,http://player.vimeo.com/video/67208551
474v,http://player.vimeo.com/video/67208611
380a,http://files.axcesscapon.com/audio/mma/a401-Customer-Insight.mp3
418p,http://files.axcesscapon.com/pdf/enrichments/ME501.pdf
349v,http://player.vimeo.com/video/66141683
306a,http://files.axcesscapon.com/audio/mma/a501-Competitor-Insight.mp3
626p,http://files.axcesscapon.com/pdf/enrichments/ME601.pdf
422v,http://player.vimeo.com/video/66145057
162v,http://player.vimeo.com/video/67208585
100v,http://player.vimeo.com/video/67208525
382v,http://player.vimeo.com/video/66163294
910p,http://files.axcesscapon.com/pdf/enrichments/ME701.pdf
174v,http://player.vimeo.com/video/66145111
890a,http://files.axcesscapon.com/audio/mma/a701-Imperative-1-Determine-and-Recommend-Which-Markets-to-Address.mp3
597v,http://player.vimeo.com/video/66145205
182v,http://player.vimeo.com/video/67219599
336a,http://files.axcesscapon.com/audio/mma/a801-Imperative-2-Identify-and-Target-Market-Segments.mp3
51p,http://files.axcesscapon.com/pdf/enrichments/ME901.pdf
200v,http://player.vimeo.com/video/66145299
793a,http://files.axcesscapon.com/audio/mma/a901-Imperative-3-Set-Strategic-Direction-and-Positioning-The-Market-Strategy.mp3
614a,http://files.axcesscapon.com/audio/mma/a902-Imperative-4-Design-the-Marketing-Offer.mp3
157p,http://files.axcesscapon.com/pdf/enrichments/ME1001.pdf
609p,http://files.axcesscapon.com/pdf/enrichments/ME1002.pdf
698v,http://player.vimeo.com/video/66145361
423v,http://player.vimeo.com/video/67219942
573p,http://files.axcesscapon.com/pdf/enrichments/ME1101.pdf
201v,http://player.vimeo.com/video/66145440
210v,http://player.vimeo.com/video/67219983
736v,http://player.vimeo.com/video/67560054
130v,http://vimeo.com/111516413
539a,http://files.axcesscapon.com/audio/mma/a1101-Imperative-3-Set-Strategic-Direction-and-Positioning-Branding.mp3
775v,http://player.vimeo.com/video/66163759
745v,http://player.vimeo.com/video/66145597
873v,http://player.vimeo.com/video/67560063
717v,http://player.vimeo.com/video/66145715
531p,http://files.axcesscapon.com/pdf/enrichments/ME1401.pdf
737v,http://player.vimeo.com/video/66160450
194v,http://player.vimeo.com/video/67560661
561v,http://player.vimeo.com/video/67560573
543v,http://player.vimeo.com/video/66160525
836v,http://player.vimeo.com/video/66160635
267v,http://player.vimeo.com/video/67561148
515v,http://player.vimeo.com/video/67560950
921v,http://player.vimeo.com/video/67561001
715v,http://player.vimeo.com/video/67561148
965p,http://files.axcesscapon.com/pdf/enrichments/ME1701.pdf
206p,http://files.axcesscapon.com/pdf/enrichments/ME1702.pdf
576v,http://player.vimeo.com/video/66160729
805v,http://player.vimeo.com/video/67561538
632v,http://player.vimeo.com/video/67561611
144v,http://player.vimeo.com/video/67562300
922v,http://player.vimeo.com/video/67563162
594v,http://player.vimeo.com/video/66160816
720v,http://player.vimeo.com/video/67568866
155p,http://files.axcesscapon.com/pdf/enrichments/ME1901.pdf
691p,http://files.axcesscapon.com/pdf/enrichments/ME1902.pdf
894v,http://player.vimeo.com/video/66161128
955v,http://player.vimeo.com/video/67569040
705p,http://files.axcesscapon.com/pdf/enrichments/ME2001.pdf
347v,http://player.vimeo.com/video/66161232
337v,http://player.vimeo.com/video/67632861
192v,http://player.vimeo.com/video/66161318
787v,http://player.vimeo.com/video/67632797
773v,http://player.vimeo.com/video/67632939
670v,http://player.vimeo.com/video/67633056
470a,http://files.axcesscapon.com/audio/mma/a2101-Imperative-5-Secure-Support-from-Other-Functions.mp3
814p,http://files.axcesscapon.com/pdf/enrichments/ME2201.pdf
740p,http://files.axcesscapon.com/pdf/enrichments/ME2202.pdf
886p,http://files.axcesscapon.com/pdf/enrichments/ME2203.pdf
783v,http://player.vimeo.com/video/66161411
513v,http://player.vimeo.com/video/67633420
107v,http://player.vimeo.com/video/67633341
179a,http://files.axcesscapon.com/audio/mma/a2201-Imperative-6-Monitor-and-Control-Execution-and-Performance.mp3
963v,http://player.vimeo.com/video/66242897
918p,http://files.axcesscapon.com/pdf/enrichments/ME2301.pdf
984p,http://files.axcesscapon.com/pdf/enrichments/ME2302.pdf
395v,http://player.vimeo.com/video/66161501
156v,http://player.vimeo.com/video/67633435
165v,https://www.youtube.com/watch?v=83yInyY1KLs
202v,https://www.youtube.com/watch?v=MwAF2i7zZOc
821v,https://www.youtube.com/watch?v=4EXAvNmRjGQ
706v,https://www.youtube.com/watch?v=-xmrSQpWjCc
695v,https://www.youtube.com/watch?v=TYY9Rml-7RM
993v,https://www.youtube.com/watch?v=k8quC7Vpz4E
121v,https://www.youtube.com/watch?v=Hct6YOSU_Uw
565v,https://www.youtube.com/watch?v=QS9bEeq9l40
803v,https://www.youtube.com/watch?v=nApy6tQ-wTg
540v,https://www.youtube.com/watch?v=7JevTg09_nw
900v,https://www.youtube.com/watch?v=_XW1IUaO70A
964v,https://www.youtube.com/watch?v=tW779-sruPY
571v,https://www.youtube.com/watch?v=-kMXgMDC4Gg
374v,https://www.youtube.com/watch?v=PzQGb-YVClY
659v,https://www.youtube.com/watch?v=lr3HuWfBb_g
